filename,algorithm,result,time_ms,best,match
testcase1.txt,DSATUR,3,1,3,3
testcase1.txt,Tabu,3,0,3,3
testcase1.txt,BnB,3,0,3,0
dsjc250.5.col,DSATUR,37,123,28,37
dsjc250.5.col,Tabu,28,4074,28,28
dsjc500.1.col,DSATUR,15,297,12,15
dsjc500.1.col,Tabu,12,3264,12,12
dsjc500.5.col,DSATUR,64,489,48,64
dsjc500.5.col,Tabu,48,13465,48,48
dsjc500.9.col,DSATUR,162,509,126,162
dsjc500.9.col,Tabu,126,22121,126,126
dsjc1000.1.col,DSATUR,26,1237,20,26
dsjc1000.1.col,Tabu,20,10622,20,20
dsjc1000.5.col,DSATUR,115,2066,85,115
dsjc1000.5.col,Tabu,85,35144,85,85
dsjc1000.9.col,DSATUR,298,2304,223,298
dsjc1000.9.col,Tabu,223,49325,223,223
r250.5.col,DSATUR,67,183,66,67
r250.5.col,Tabu,66,2302,66,66
r1000.1c.col,DSATUR,107,2135,98,107
r1000.1c.col,Tabu,98,15175,98,98
r1000.5.col,DSATUR,250,2049,234,250
r1000.5.col,Tabu,234,48713,234,234
dsjr500.1c.col,DSATUR,88,533,84,88
dsjr500.1c.col,Tabu,84,8031,84,84
dsjr500.5.col,DSATUR,130,493,122,130
dsjr500.5.col,Tabu,122,9726,122,122
le450_25c.col,DSATUR,29,282,25,29
le450_25c.col,Tabu,25,4960,25,25
le450_25d.col,DSATUR,29,281,25,29
le450_25d.col,Tabu,25,4891,25,25
flat300_28_0.col,DSATUR,40,190,28,40
flat300_28_0.col,Tabu,28,5903,28,28
flat1000_50_0.col,DSATUR,113,2039,50,113
flat1000_50_0.col,Tabu,50,50782,50,50
flat1000_60_0.col,DSATUR,113,2024,60,113
flat1000_60_0.col,Tabu,60,53481,60,60
flat1000_76_0.col,DSATUR,115,2011,85,115
flat1000_76_0.col,Tabu,85,36143,85,85
latin_square.col,DSATUR,131,1514,99,131
latin_square.col,Tabu,99,28250,99,99
